Loyalty Number,Total Flights_mean,Total Flights_sum,Total Flights_max,Distance_mean,Distance_sum,Points Accumulated_mean,Points Accumulated_sum,Points Redeemed_sum,inactive_streak_max,inactive_streak_mean,churn_6m_max,flight_drop_max,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,segment,segment_v2
100550,1.75,42,5,2153.625,51687,2153.625,51687.0,1114,2,0.4583333333333333,0,1,Female,Bachelor,54133.0,Married,Nova,7861.8,Low Value - Stable,Low Value - Stable
100585,1.7083333333333333,41,5,2838.0,68112,2838.0,68112.0,2397,2,0.5,0,1,Male,Bachelor,96269.0,Divorced,Star,7334.33,Low Value - Stable,Low Value - Stable
100590,2.5454545454545454,28,12,2813.4545454545455,30948,4220.181818181818,46422.0,512,5,1.9090909090909092,0,1,Female,Bachelor,69841.0,Married,Star,34090.04,High Value - Loyal,High Value - Loyal
100642,1.5,36,4,2224.4166666666665,53386,2224.4166666666665,53386.0,502,2,0.4583333333333333,0,1,Female,Bachelor,51667.0,Married,Nova,4892.63,Low Value - Stable,Low Value - Stable
100644,1.2083333333333333,29,6,1914.125,45939,1914.125,45939.0,2277,3,0.75,0,1,Female,Master,94440.0,Divorced,Star,4458.11,Low Value - Stable,Low Value - Stable
100646,1.25,30,6,1738.125,41715,1738.125,41715.0,559,3,0.6666666666666666,0,1,Female,Bachelor,101933.0,Married,Star,2471.53,Low Value - Stable,Low Value - Stable
100727,2.0,48,6,3149.7083333333335,75593,3149.7083333333335,75593.0,1570,2,0.4166666666666667,0,1,Male,Master,128118.0,Married,Nova,3873.65,Low Value - Stable,Low Value - Stable
100737,1.9583333333333333,47,5,2784.5833333333335,66830,2784.5833333333335,66830.0,2357,5,0.7916666666666666,0,1,Female,College,,Single,Star,12786.67,Low Value - Stable,High Value - Loyal
100753,2.125,51,6,2673.7916666666665,64171,2673.7916666666665,64171.0,750,3,0.5,0,1,Male,Bachelor,47717.0,Divorced,Star,2534.31,High Value - Loyal,Low Value - Stable
100816,1.2916666666666667,31,4,1985.5416666666667,47653,1985.5416666666667,47653.0,0,5,0.9583333333333334,0,1,Female,Master,97497.0,Divorced,Aurora,6273.91,Low Value - Stable,Low Value - Stable
100853,1.625,39,6,1975.125,47403,1975.125,47403.0,579,4,0.8333333333333334,0,1,Male,College,,Married,Star,10153.89,Low Value - Stable,High Value - Loyal
100883,1.4166666666666667,34,6,2235.7916666666665,53659,2235.7916666666665,53659.0,0,3,0.75,0,1,Female,College,,Single,Star,3561.04,Low Value - Stable,Low Value - Stable
100890,1.125,27,4,1641.4166666666667,39394,1641.4166666666667,39394.0,1612,3,0.6666666666666666,0,1,Female,College,,Divorced,Nova,8007.4,Low Value - Stable,Low Value - Stable
101018,1.7083333333333333,41,5,2996.625,71919,2996.625,71919.0,1186,2,0.4166666666666667,0,1,Female,Bachelor,56523.0,Married,Nova,4392.98,Low Value - Stable,Low Value - Stable
101148,1.25,30,5,1982.0833333333333,47570,1982.0833333333333,47570.0,714,3,0.9166666666666666,0,1,Female,High School or Below,45229.0,Single,Nova,4770.55,Low Value - Stable,Low Value - Stable
101356,0.0,0,0,0.0,0,0.0,0.0,0,24,12.5,1,0,Male,Bachelor,50688.0,Married,Nova,7482.64,Low Value - At Risk,Low Value - At Risk
101363,1.2916666666666667,31,5,2112.375,50697,2112.375,50697.0,1760,5,1.25,0,1,Female,Bachelor,59310.0,Married,Star,12898.59,Low Value - Stable,High Value - Loyal
101487,2.3333333333333335,56,6,3024.5416666666665,72589,3024.5416666666665,72589.0,2912,1,0.16666666666666666,0,1,Male,Bachelor,91817.0,Married,Aurora,14024.36,High Value - Loyal,High Value - Loyal
101515,1.2083333333333333,29,5,2101.375,50433,2101.375,50433.0,2043,3,0.875,0,1,Male,Bachelor,68711.0,Married,Nova,7737.27,Low Value - Stable,Low Value - Stable
101540,1.25,30,6,2045.5833333333333,49094,2045.5833333333333,49094.0,931,5,1.0416666666666667,0,1,Female,Bachelor,69020.0,Single,Star,2688.88,Low Value - Stable,Low Value - Stable
101544,1.6666666666666667,40,6,2559.6666666666665,61432,2559.6666666666665,61432.0,1722,3,0.5833333333333334,0,1,Female,Bachelor,56531.0,Married,Nova,24249.34,Low Value - Stable,High Value - Loyal
101547,0.7083333333333334,17,6,1371.5833333333333,32918,1371.5833333333333,32918.0,576,12,3.5416666666666665,1,1,Female,College,,Married,Star,5619.69,Low Value - At Risk,Low Value - At Risk
101581,1.5,36,6,2064.25,49542,2064.25,49542.0,1104,2,0.4583333333333333,0,1,Male,Bachelor,87781.0,Married,Star,4595.46,Low Value - Stable,Low Value - Stable
101594,1.7916666666666667,43,5,2426.2083333333335,58229,2426.2083333333335,58229.0,1319,3,0.4583333333333333,0,1,Male,Doctor,239867.0,Divorced,Star,5205.75,Low Value - Stable,Low Value - Stable
101644,0.08333333333333333,2,2,123.91666666666667,2974,123.91666666666667,2974.0,0,23,11.5,1,0,Female,Master,101038.0,Married,Star,8382.63,Low Value - At Risk,Low Value - At Risk
101663,1.7083333333333333,41,5,2504.5416666666665,60109,2504.5416666666665,60109.0,961,3,0.5416666666666666,0,1,Male,Bachelor,94946.0,Married,Aurora,5129.74,Low Value - Stable,Low Value - Stable
101664,1.2083333333333333,29,5,1707.7916666666667,40987,1707.7916666666667,40987.0,0,4,0.75,0,1,Male,Bachelor,87654.0,Married,Aurora,9002.41,Low Value - Stable,High Value - Loyal
101709,1.5833333333333333,38,5,2483.1666666666665,59596,2483.1666666666665,59596.0,456,4,0.5833333333333334,0,1,Female,Bachelor,66733.0,Single,Aurora,8396.61,Low Value - Stable,Low Value - Stable
101768,0.041666666666666664,1,1,72.20833333333333,1733,72.20833333333333,1733.0,0,23,11.5,1,0,Male,Bachelor,70267.0,Single,Nova,13916.93,Low Value - At Risk,High Value - At Risk
101876,0.5,12,5,761.0,18264,761.0,18264.0,1187,10,3.4166666666666665,1,1,Male,College,,Single,Aurora,4949.53,Low Value - At Risk,Low Value - At Risk
101895,1.125,27,6,1971.0416666666667,47305,1971.0416666666667,47305.0,0,6,1.125,1,1,Female,Bachelor,81883.0,Single,Nova,24543.2,Low Value - At Risk,High Value - At Risk
101902,1.6041666666666667,77,6,2748.1041666666665,131909,2748.1041666666665,131909.0,1302,6,0.75,1,1,Female,College,,Married,Aurora,6265.34,Low Value - At Risk,Low Value - At Risk
101945,1.625,39,5,2625.1666666666665,63004,2625.1666666666665,63004.0,1219,1,0.3333333333333333,0,1,Male,Bachelor,86098.0,Married,Star,4202.66,Low Value - Stable,Low Value - Stable
102168,1.0416666666666667,25,6,1687.2916666666667,40495,1687.2916666666667,40495.0,0,14,4.458333333333333,1,1,Female,Bachelor,75265.0,Divorced,Nova,7166.34,Low Value - At Risk,Low Value - At Risk
102184,1.875,45,7,2877.4166666666665,69058,2877.4166666666665,69058.0,0,2,0.375,0,1,Male,Bachelor,76887.0,Married,Star,4923.18,Low Value - Stable,Low Value - Stable
102207,1.0416666666666667,25,5,1578.7083333333333,37889,1578.7083333333333,37889.0,0,3,1.0416666666666667,0,1,Male,Bachelor,86413.0,Divorced,Nova,6960.92,Low Value - Stable,Low Value - Stable
102299,2.0,48,6,2482.0833333333335,59570,2482.0833333333335,59570.0,0,3,0.4583333333333333,0,1,Female,College,,Single,Star,2089.34,Low Value - Stable,Low Value - Stable
102308,0.0,0,0,0.0,0,0.0,0.0,0,24,12.5,1,0,Male,College,,Single,Star,12866.89,Low Value - At Risk,High Value - At Risk
102311,2.125,51,6,3482.5416666666665,83581,3482.5416666666665,83581.0,1396,2,0.4583333333333333,0,1,Female,Bachelor,76485.0,Single,Star,7507.46,High Value - Loyal,Low Value - Stable
102376,6.636363636363637,73,24,7234.545454545455,79580,10851.818181818182,119370.0,556,3,0.8181818181818182,0,1,Male,College,,Single,Aurora,12765.78,High Value - Loyal,High Value - Loyal
102464,0.5833333333333334,14,3,711.125,17067,711.125,17067.0,761,5,1.4166666666666667,0,1,Male,Bachelor,60563.0,Married,Star,2725.68,Low Value - Stable,Low Value - Stable
102615,0.08333333333333333,2,2,189.83333333333334,4556,189.83333333333334,4556.0,0,21,9.75,1,1,Female,Doctor,51630.0,Married,Aurora,7590.05,Low Value - At Risk,Low Value - At Risk
102726,0.875,21,4,1042.5,25020,1042.5,25020.0,1426,11,2.9583333333333335,1,1,Male,Bachelor,84147.0,Married,Nova,8044.87,Low Value - At Risk,Low Value - At Risk
102730,1.125,27,6,1745.4166666666667,41890,1745.4166666666667,41890.0,0,14,4.416666666666667,1,1,Male,High School or Below,80919.0,Single,Star,2453.57,Low Value - At Risk,Low Value - At Risk
102740,0.20833333333333334,5,4,371.9583333333333,8927,371.9583333333333,8927.0,0,21,9.666666666666666,1,1,Female,Bachelor,100571.0,Married,Star,16922.13,Low Value - At Risk,High Value - At Risk
102788,7.636363636363637,84,20,12332.454545454546,135657,18498.68181818182,203485.5,0,1,0.2727272727272727,0,1,Male,Bachelor,31170.0,Single,Nova,11124.21,High Value - Loyal,High Value - Loyal
102851,1.625,39,4,2248.9583333333335,53975,2248.9583333333335,53975.0,1247,2,0.375,0,1,Female,Bachelor,60216.0,Single,Star,19435.63,Low Value - Stable,High Value - Loyal
102877,1.875,45,6,3139.9166666666665,75358,3139.9166666666665,75358.0,908,3,0.5833333333333334,0,1,Female,College,,Married,Nova,2863.04,Low Value - Stable,Low Value - Stable
102982,1.2083333333333333,29,5,1451.4583333333333,34835,1451.4583333333333,34835.0,0,7,1.6666666666666667,1,1,Male,Bachelor,84442.0,Married,Aurora,5235.57,Low Value - At Risk,Low Value - At Risk
103043,1.7916666666666667,43,5,2764.8333333333335,66356,2764.8333333333335,66356.0,449,4,0.5833333333333334,0,1,Male,Bachelor,97920.0,Married,Star,3351.21,Low Value - Stable,Low Value - Stable
103151,1.2916666666666667,31,4,2186.9166666666665,52486,2186.9166666666665,52486.0,912,4,0.6666666666666666,0,1,Female,Bachelor,64962.0,Married,Aurora,32613.69,Low Value - Stable,High Value - Loyal
103217,1.5,36,4,2349.9583333333335,56399,2349.9583333333335,56399.0,0,3,0.7916666666666666,0,1,Male,College,,Single,Star,6439.33,Low Value - Stable,Low Value - Stable
103304,1.5416666666666667,37,5,2606.7916666666665,62563,2606.7916666666665,62563.0,947,1,0.2916666666666667,0,1,Male,Bachelor,67227.0,Married,Star,2683.47,Low Value - Stable,Low Value - Stable
103340,1.8333333333333333,44,6,2588.4166666666665,62122,2588.4166666666665,62122.0,0,3,0.6666666666666666,0,1,Male,College,,Single,Star,7577.07,Low Value - Stable,Low Value - Stable
103352,0.0,0,0,0.0,0,0.0,0.0,0,24,12.5,1,0,Male,Bachelor,69742.0,Married,Aurora,5555.49,Low Value - At Risk,Low Value - At Risk
103359,2.2083333333333335,53,5,3427.0416666666665,82249,3427.0416666666665,82249.0,564,3,0.4166666666666667,0,1,Female,College,,Single,Star,4502.87,High Value - Loyal,Low Value - Stable
103362,0.125,3,3,186.875,4485,186.875,4485.0,0,22,10.583333333333334,1,1,Male,College,,Single,Star,4807.0,Low Value - At Risk,Low Value - At Risk
103383,0.0,0,0,0.0,0,0.0,0.0,0,24,12.5,1,0,Male,Doctor,65018.0,Married,Aurora,13466.92,Low Value - At Risk,High Value - At Risk
103436,2.0416666666666665,49,6,3602.2916666666665,86455,3602.2916666666665,86455.0,902,2,0.375,0,1,Male,Bachelor,67445.0,Single,Star,5015.01,High Value - Loyal,Low Value - Stable
103490,1.875,45,5,3096.1666666666665,74308,3096.1666666666665,74308.0,0,2,0.375,0,1,Male,High School or Below,65543.0,Single,Nova,17651.96,Low Value - Stable,High Value - Loyal
103502,0.75,18,4,1260.1666666666667,30244,1260.1666666666667,30244.0,344,6,1.875,1,1,Male,Bachelor,66226.0,Married,Star,2580.85,Low Value - At Risk,Low Value - At Risk
103536,2.4583333333333335,59,6,3373.0833333333335,80954,3373.0833333333335,80954.0,539,3,0.3333333333333333,0,1,Female,College,,Married,Nova,9202.64,High Value - Loyal,High Value - Loyal
103699,1.0,24,5,1529.9583333333333,36719,1529.9583333333333,36719.0,0,13,3.9583333333333335,1,1,Male,Bachelor,86388.0,Single,Nova,5595.39,Low Value - At Risk,Low Value - At Risk
103731,1.375,33,5,2244.1666666666665,53860,2244.1666666666665,53860.0,489,4,0.75,0,1,Female,Bachelor,90487.0,Married,Nova,4015.34,Low Value - Stable,Low Value - Stable
103758,0.75,18,5,1137.2916666666667,27295,1137.2916666666667,27295.0,0,18,7.166666666666667,1,1,Female,Bachelor,103461.0,Single,Star,14727.51,Low Value - At Risk,High Value - At Risk
103823,1.75,42,5,2408.7083333333335,57809,2408.7083333333335,57809.0,1014,2,0.375,0,1,Female,High School or Below,52820.0,Married,Nova,4812.53,Low Value - Stable,Low Value - Stable
103860,1.6666666666666667,40,5,2726.1666666666665,65428,2726.1666666666665,65428.0,1794,2,0.3333333333333333,0,1,Male,Bachelor,75348.0,Married,Nova,3358.53,Low Value - Stable,Low Value - Stable
103862,1.5416666666666667,37,6,2882.9583333333335,69191,2882.9583333333335,69191.0,2686,3,0.6666666666666666,0,1,Female,Doctor,299560.0,Married,Star,4878.83,Low Value - Stable,Low Value - Stable
103916,1.5,36,6,2268.1666666666665,54436,2268.1666666666665,54436.0,892,4,0.7916666666666666,0,1,Female,High School or Below,60894.0,Married,Star,3803.92,Low Value - Stable,Low Value - Stable
103969,1.375,33,5,1947.6666666666667,46744,1947.6666666666667,46744.0,1131,3,0.6666666666666666,0,1,Male,Bachelor,52405.0,Married,Aurora,31410.93,Low Value - Stable,High Value - Loyal
103970,1.875,45,5,2343.0833333333335,56234,2343.0833333333335,56234.0,0,4,0.5416666666666666,0,1,Female,Doctor,221857.0,Married,Aurora,8257.67,Low Value - Stable,Low Value - Stable
103975,0.625,15,5,752.5416666666666,18061,752.5416666666666,18061.0,1102,20,8.75,1,0,Male,Bachelor,71775.0,Married,Star,2411.26,Low Value - At Risk,Low Value - At Risk
103985,0.16666666666666666,4,2,261.2083333333333,6269,261.2083333333333,6269.0,0,20,8.791666666666666,1,1,Male,College,,Single,Nova,2761.69,Low Value - At Risk,Low Value - At Risk
104103,1.3333333333333333,32,5,1686.25,40470,1686.25,40470.0,742,4,1.0416666666666667,0,1,Male,College,,Married,Nova,8262.88,Low Value - Stable,Low Value - Stable
104267,3.4545454545454546,38,16,5600.545454545455,61606,8400.818181818182,92409.0,0,4,1.1818181818181819,0,1,Male,Bachelor,28642.0,Married,Star,2701.04,High Value - Loyal,Low Value - Stable
104353,1.75,42,4,3082.5,73980,3082.5,73980.0,526,3,0.5416666666666666,0,1,Male,Bachelor,104140.0,Married,Star,15777.89,Low Value - Stable,High Value - Loyal
104431,1.7916666666666667,43,6,3235.1666666666665,77644,3235.1666666666665,77644.0,1771,4,0.75,0,1,Female,Doctor,243591.0,Married,Nova,2822.59,Low Value - Stable,Low Value - Stable
104541,1.4166666666666667,34,4,1678.4583333333333,40283,1678.4583333333333,40283.0,1472,4,0.5833333333333334,0,1,Female,Bachelor,64827.0,Married,Nova,8621.0,Low Value - Stable,Low Value - Stable
104586,1.6666666666666667,40,7,2735.0,65640,2735.0,65640.0,473,3,0.6666666666666666,0,1,Male,Bachelor,86609.0,Divorced,Aurora,7772.58,Low Value - Stable,Low Value - Stable
104673,2.0,48,7,2698.75,64770,2698.75,64770.0,546,2,0.4583333333333333,0,1,Male,Bachelor,60006.0,Married,Aurora,14723.41,Low Value - Stable,High Value - Loyal
104732,1.5416666666666667,37,5,2253.375,54081,2253.375,54081.0,403,3,0.7916666666666666,0,1,Female,Bachelor,50930.0,Married,Nova,8382.48,Low Value - Stable,Low Value - Stable
104739,0.0,0,0,0.0,0,0.0,0.0,0,24,12.5,1,0,Female,High School or Below,65565.0,Married,Nova,5498.94,Low Value - At Risk,Low Value - At Risk
104849,1.4583333333333333,35,4,2235.0416666666665,53641,2235.0416666666665,53641.0,363,1,0.3333333333333333,0,1,Female,Bachelor,63326.0,Married,Nova,2816.76,Low Value - Stable,Low Value - Stable
104960,1.3333333333333333,32,7,2023.125,48555,2023.125,48555.0,589,6,1.4583333333333333,1,1,Male,Bachelor,90265.0,Married,Star,2551.23,Low Value - At Risk,Low Value - At Risk
105063,2.4545454545454546,27,12,3699.5454545454545,40695,5549.318181818182,61042.5,0,4,1.2727272727272727,0,1,Male,Doctor,236405.0,Divorced,Star,7251.33,High Value - Loyal,Low Value - Stable
105073,4.7272727272727275,52,20,3988.5454545454545,43874,5982.818181818182,65811.0,0,2,0.45454545454545453,0,1,Male,College,,Single,Aurora,7562.82,High Value - Loyal,Low Value - Stable
105074,1.9166666666666667,46,5,2753.25,66078,2753.25,66078.0,1567,3,0.4166666666666667,0,1,Male,Bachelor,79727.0,Married,Nova,2799.75,Low Value - Stable,Low Value - Stable
105145,0.0,0,0,0.0,0,0.0,0.0,0,24,12.5,1,0,Male,College,,Single,Star,4839.11,Low Value - At Risk,Low Value - At Risk
105193,0.125,3,3,275.875,6621,275.875,6621.0,0,21,9.75,1,1,Female,Bachelor,92396.0,Married,Nova,8838.09,Low Value - At Risk,Low Value - At Risk
105214,1.4583333333333333,35,4,2186.375,52473,2186.375,52473.0,1847,3,0.5833333333333334,0,1,Male,Bachelor,88863.0,Divorced,Star,5897.99,Low Value - Stable,Low Value - Stable
105251,0.4166666666666667,10,6,863.875,20733,863.875,20733.0,0,18,7.375,1,1,Female,Bachelor,80885.0,Married,Star,5074.25,Low Value - At Risk,Low Value - At Risk
105335,1.5,36,5,2620.0833333333335,62882,2620.0833333333335,62882.0,2193,5,1.0,0,1,Male,Bachelor,53065.0,Single,Nova,11611.95,Low Value - Stable,High Value - Loyal
105352,0.0,0,0,0.0,0,0.0,0.0,0,24,12.5,1,0,Female,College,,Single,Star,3923.27,Low Value - At Risk,Low Value - At Risk
105552,1.25,30,5,2439.75,58554,2439.75,58554.0,819,4,0.9166666666666666,0,1,Male,Bachelor,77935.0,Married,Nova,8256.3,Low Value - Stable,Low Value - Stable
105688,1.875,45,5,2980.7083333333335,71537,2980.7083333333335,71537.0,1004,1,0.2916666666666667,0,1,Female,College,,Married,Aurora,5507.06,Low Value - Stable,Low Value - Stable
105700,0.0,0,0,0.0,0,0.0,0.0,0,24,12.5,1,0,Female,College,,Single,Nova,7944.97,Low Value - At Risk,Low Value - At Risk
105712,1.2916666666666667,31,5,1933.8333333333333,46412,1933.8333333333333,46412.0,1168,4,1.0833333333333333,0,1,Female,College,,Married,Nova,8311.14,Low Value - Stable,Low Value - Stable
105789,1.5833333333333333,38,6,2840.5416666666665,68173,2840.5416666666665,68173.0,687,5,0.8333333333333334,0,1,Female,College,,Single,Nova,2943.05,Low Value - Stable,Low Value - Stable
105835,3.1818181818181817,35,12,3799.090909090909,41790,5698.636363636364,62685.0,0,3,0.8181818181818182,0,1,Male,Bachelor,41085.0,Married,Star,4756.13,High Value - Loyal,Low Value - Stable
105841,6.636363636363637,73,24,9629.818181818182,105928,14444.727272727272,158892.0,522,1,0.2727272727272727,0,1,Male,Bachelor,55130.0,Married,Star,17420.57,High Value - Loyal,High Value - Loyal
105921,2.0416666666666665,49,5,2927.0833333333335,70250,2927.0833333333335,70250.0,1753,5,0.875,0,1,Female,Bachelor,77255.0,Married,Star,5041.45,High Value - Loyal,Low Value - Stable
105932,1.25,30,5,2302.3333333333335,55256,2302.3333333333335,55256.0,765,2,0.5833333333333334,0,1,Male,Bachelor,62977.0,Married,Star,3671.82,Low Value - Stable,Low Value - Stable
105992,1.75,42,7,2554.5833333333335,61310,2554.5833333333335,61310.0,1647,4,0.6666666666666666,0,1,Female,Bachelor,75700.0,Married,Nova,5905.97,Low Value - Stable,Low Value - Stable
106001,1.5833333333333333,76,5,2490.9375,119565,2490.9375,119565.0,2698,3,0.375,0,1,Female,High School or Below,39000.0,Single,Star,4914.04,Low Value - Stable,Low Value - Stable
106037,2.125,51,6,2865.875,68781,2865.875,68781.0,0,4,0.5833333333333334,0,1,Male,Bachelor,94980.0,Married,Nova,11281.52,High Value - Loyal,High Value - Loyal
106038,1.3333333333333333,32,4,1844.9583333333333,44279,1844.9583333333333,44279.0,1377,2,0.5,0,1,Female,Bachelor,47889.0,Married,Star,7380.09,Low Value - Stable,Low Value - Stable
106046,4.363636363636363,48,20,8975.363636363636,98729,13463.045454545454,148093.5,943,2,0.45454545454545453,0,1,Male,Bachelor,16628.0,Single,Star,2658.22,High Value - Loyal,Low Value - Stable
106048,0.125,3,3,87.625,2103,87.625,2103.0,0,23,11.5,1,0,Male,Doctor,70755.0,Divorced,Star,11315.2,Low Value - At Risk,High Value - At Risk
106218,1.5833333333333333,38,5,2232.1666666666665,53572,2232.1666666666665,53572.0,1209,3,0.5,0,1,Male,Master,111106.0,Married,Nova,16473.17,Low Value - Stable,High Value - Loyal
106397,1.0416666666666667,25,6,1485.8333333333333,35660,1485.8333333333333,35660.0,450,4,1.0,0,1,Male,College,,Married,Aurora,7902.68,Low Value - Stable,Low Value - Stable
106444,0.5833333333333334,14,5,820.0,19680,820.0,19680.0,1590,14,4.708333333333333,1,1,Male,College,,Divorced,Aurora,8447.8,Low Value - At Risk,Low Value - At Risk
106477,0.9583333333333334,23,4,1239.2916666666667,29743,1239.2916666666667,29743.0,0,5,1.2083333333333333,0,1,Male,Bachelor,52935.0,Divorced,Star,2487.26,Low Value - Stable,Low Value - Stable
106509,0.20833333333333334,10,4,287.7291666666667,13811,287.7291666666667,13811.0,0,38,15.8125,1,1,Male,Bachelor,54529.0,Married,Nova,16727.77,Low Value - At Risk,High Value - At Risk
106589,0.0,0,0,0.0,0,0.0,0.0,0,24,12.5,1,0,Male,High School or Below,71630.0,Married,Star,11638.9,Low Value - At Risk,High Value - At Risk
106592,1.9583333333333333,47,5,3181.125,76347,3181.125,76347.0,1003,3,0.5416666666666666,0,1,Male,Doctor,298661.0,Married,Nova,11727.78,Low Value - Stable,High Value - Loyal
106616,0.25,6,3,391.9166666666667,9406,391.9166666666667,9406.0,0,19,8.0,1,1,Male,Bachelor,53879.0,Married,Star,2560.69,Low Value - At Risk,Low Value - At Risk
106623,0.16666666666666666,4,3,87.16666666666667,2092,87.16666666666667,2092.0,0,22,10.541666666666666,1,0,Male,Bachelor,77314.0,Married,Nova,10827.87,Low Value - At Risk,High Value - At Risk
106637,1.3333333333333333,32,5,2030.0416666666667,48721,2030.0416666666667,48721.0,1770,4,0.7083333333333334,0,1,Male,Bachelor,86121.0,Married,Star,7455.36,Low Value - Stable,Low Value - Stable
106689,0.9583333333333334,23,4,1431.4583333333333,34355,1431.4583333333333,34355.0,1690,6,1.7083333333333333,1,1,Female,Bachelor,61554.0,Married,Nova,2795.41,Low Value - At Risk,Low Value - At Risk
106754,1.2916666666666667,31,5,1390.3333333333333,33368,1390.3333333333333,33368.0,1167,6,1.2083333333333333,1,1,Female,Bachelor,49158.0,Married,Star,31864.86,Low Value - At Risk,High Value - At Risk
106757,1.4583333333333333,35,6,2246.9166666666665,53926,2246.9166666666665,53926.0,0,3,0.8333333333333334,0,1,Male,College,,Married,Aurora,21423.64,Low Value - Stable,High Value - Loyal
106776,1.7916666666666667,43,6,2850.0,68400,2850.0,68400.0,1109,2,0.5416666666666666,0,1,Male,Bachelor,50611.0,Married,Star,19357.8,Low Value - Stable,High Value - Loyal
106838,1.625,39,5,2981.4583333333335,71555,2981.4583333333335,71555.0,0,3,0.5,0,1,Male,Bachelor,58674.0,Married,Aurora,7524.74,Low Value - Stable,Low Value - Stable
106839,1.875,45,6,2690.375,64569,2690.375,64569.0,662,2,0.4166666666666667,0,1,Male,Bachelor,63081.0,Married,Nova,6511.47,Low Value - Stable,Low Value - Stable
106936,1.875,45,7,2964.5416666666665,71149,2964.5416666666665,71149.0,948,2,0.4166666666666667,0,1,Female,Bachelor,67299.0,Married,Nova,57520.5,Low Value - Stable,High Value - Loyal
106946,2.0833333333333335,50,6,3259.0,78216,3259.0,78216.0,2449,2,0.25,0,1,Male,Bachelor,55446.0,Married,Star,7796.0,High Value - Loyal,Low Value - Stable
106964,0.16666666666666666,4,3,245.375,5889,245.375,5889.0,512,21,9.666666666666666,1,1,Female,College,,Single,Star,5568.95,Low Value - At Risk,Low Value - At Risk
106978,1.9166666666666667,46,6,2948.4166666666665,70762,2948.4166666666665,70762.0,386,3,0.4166666666666667,0,1,Female,Bachelor,81959.0,Divorced,Nova,3455.23,Low Value - Stable,Low Value - Stable
106979,1.5833333333333333,38,6,2774.0,66576,2774.0,66576.0,1530,2,0.4583333333333333,0,1,Male,Bachelor,86727.0,Single,Star,14083.97,Low Value - Stable,High Value - Loyal
107037,1.2916666666666667,31,4,1578.4166666666667,37882,1578.4166666666667,37882.0,669,5,1.0416666666666667,0,1,Female,Bachelor,62780.0,Married,Aurora,17732.46,Low Value - Stable,High Value - Loyal
107067,1.4583333333333333,35,4,1926.4583333333333,46235,1926.4583333333333,46235.0,1531,2,0.375,0,1,Female,Bachelor,100598.0,Married,Star,5137.35,Low Value - Stable,Low Value - Stable
107119,1.9583333333333333,47,6,3068.1666666666665,73636,3068.1666666666665,73636.0,995,2,0.2916666666666667,0,1,Female,Bachelor,92398.0,Single,Nova,17684.65,Low Value - Stable,High Value - Loyal
107141,1.375,33,6,1834.125,44019,1834.125,44019.0,1950,3,0.7916666666666666,0,1,Male,College,,Married,Star,7292.91,Low Value - Stable,Low Value - Stable
107203,1.9583333333333333,47,7,2711.0416666666665,65065,2711.0416666666665,65065.0,1110,2,0.5833333333333334,0,1,Female,Master,94014.0,Divorced,Star,3044.79,Low Value - Stable,Low Value - Stable
